id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged,worm_id
2610,10.0,0.9655213114437086,1.9310426228874171,10757.606360799306,0.0,1.4146319666855156,10757.606360799306,1929.945921027398,0.6489010521572565,60.5,1.2179116195981325,1.2614031458063149,0.6062291434927698,336.3338888888889,2,36
2611,11.0,1.8782777438026201,3.7565554876052403,13839.501390195446,0.05378151260504202,1.1748999003152967,13839.501390195446,3081.8950293961407,1.178746209224619,66.5,3.0807154611699348,1.6401809963061957,0.6605042016806723,336.3338888888889,2,36
2612,12.0,1.168582596982612,2.337165193965224,15940.20953071329,0.11234705228031146,1.182148866425389,15940.20953071329,2100.7081405178433,1.260509785654542,72.5,7.861652711116928,6.727511372680408,0.2914349276974416,336.3338888888889,2,36
2613,13.0,0.36080650568947853,0.7216130113789571,16581.066594796033,0.10788863109048724,1.6788943879710339,16581.066594796033,640.8570640827438,0.5296147071057614,78.5,1.167900031643879,3.236915114410411,0.05336426914153132,336.3338888888889,2,36
2614,14.0,0.8598738633492548,1.7197477266985095,17188.857053970445,-0.5399361022364217,1.3934315724960513,17188.857053970445,607.7904591744118,0.7189259475760499,84.5,5.428994571796804,6.313710421026846,0.2364217252396166,336.3338888888889,2,36
2615,15.0,0.8999880983282462,1.7999761966564924,18817.33737952851,-0.020022246941045607,1.415019211751649,18817.33737952851,1628.4803255580664,0.874160251424797,90.5,5.434640803811154,6.038569636538701,0.3982202447163515,336.3338888888889,2,36
2616,16.0,0.42960333290444325,0.8592066658088865,19589.55754829174,0.0011135857461024498,1.670111879033551,19589.55754829174,772.2201687632296,0.5125613823421887,96.49944444444445,0.46635741573743944,1.0855535328008534,0.22828507795100222,336.3338888888889,2,36
2617,17.0,0.5199888380188786,1.0399776760377573,20242.2583084856,0.4241486068111455,1.590834081744349,20242.2583084856,652.7007601938603,0.5148401669865927,102.35722222222222,1.2016591772094625,2.310932638069118,0.19195046439628483,336.3338888888889,2,36
2618,18.0,0.4470271743654821,0.8940543487309642,20585.64552756743,-0.45014245014245013,1.5062096123889148,20585.64552756743,343.38721908182924,0.3647149240767478,108.19555555555556,0.7880709645366953,1.7629151195456887,0.09971509971509972,336.3338888888889,2,36
2619,21.0,0.43867811960254505,0.8773562392050901,21697.19498506215,-0.003432494279176201,1.4575094183057933,21697.19498506215,1111.5494574947188,0.3379414227065971,126.49944444444445,0.5530404884906025,1.2606976819169213,0.19908466819221968,336.3338888888889,2,36
