id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged1,drugged2,worm_id
2944,14.0,0.46685554904004034,0.9337110980800807,23168.230784497533,0.16796440489432704,1.6784679528404718,23168.230784497533,842.8989186498948,0.451854669769885,84.5,2.129809870651264,4.562031821257411,0.20912124582869857,288.30611111111114,0,0,41
2945,15.0,0.6952367378443983,1.3904734756887966,24422.074972411843,0.002224694104560623,1.833148888515719,24422.074972411843,1253.8441879143102,0.6554163586380884,90.5,5.015123886078306,7.213548440532419,0.40378197997775306,288.30611111111114,0,0,41
2946,16.0,0.5009484901623815,1.001896980324763,25322.817468235233,-0.00778642936596218,1.9621144682699783,25322.817468235233,900.7424958233896,0.5924874987163027,96.5,3.7652353162336207,7.516212525190218,0.17797552836484984,288.30611111111114,0,0,41
2947,17.0,1.1850078254799143,2.3700156509598287,27454.511395810812,-0.1167964404894327,1.344431327322691,27454.511395810812,2131.6939275755794,1.0192333785783647,102.5,2.1045648544334514,1.7759923683045107,0.7664071190211346,288.30611111111114,0,0,41
2948,18.0,0.7923734279773027,1.5847468559546054,28879.60746676845,-0.0867630700778643,1.4280361741173058,28879.60746676845,1425.0960709576393,0.6647059529971429,108.5,2.2630316014262117,2.856016521405909,0.5105672969966629,288.30611111111114,0,0,41
2949,19.0,0.4278393852387524,0.8556787704775048,29652.873183215954,0.3492769744160178,1.4374773292936829,29652.873183215954,773.2657164475022,0.4019968676484178,114.5,1.4088402057193377,3.2929184510050318,0.19243604004449388,288.30611111111114,0,0,41
2950,20.0,0.3697927250736627,0.7395854501473254,30317.751775665245,-0.3337041156840934,1.5963549918813036,30317.751775665245,664.8785924492913,0.3589152329999766,120.5,1.4700110260904236,3.9752297068515814,0.12569521690767518,288.30611111111114,0,0,41
2951,21.0,0.3719976471174569,0.7439952942349138,30987.08399623639,0.01668520578420467,1.4835366331305817,30987.08399623639,669.3322205711447,0.3401302449870932,126.5,1.7242704967873215,4.635165061253437,0.054505005561735265,288.30611111111114,0,0,41
2952,22.0,0.5208515792844004,1.0417031585688008,31924.319858259063,0.15350389321468297,1.6170540499183914,31924.319858259063,937.2358620226732,0.468762661361421,132.5,2.40167246324119,4.611049594091383,0.27808676307007785,288.30611111111114,0,0,41
2953,23.0,0.7765430086714089,1.5530860173428178,33321.2637616594,-0.8798665183537263,1.2668643752137467,33321.2637616594,1396.9439034003371,0.9133668779645532,138.5,4.3945224647178724,5.659084449471101,0.4827586206896552,288.30611111111114,0,0,41
